instance,student-STUDENT_BIAS,student-LOOPS,student-CONDITIONS,student-LOGIC_EXPR,student-COLORS,student-TOKENS,student-PITS,task-id,task-TASK_BIAS,task-LOOPS,task-CONDITIONS,task-LOGIC_EXPR,task-COLORS,task-TOKENS,task-PITS,instructions,flow-prediction,time-spent,flow-report,updated-task-difficulty
1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-0.984,0,0,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",-0.018302240124272413,50,3,-2.002
2,-0.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23,-0.388,0.2,0,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. Při řešení úlohy můžete využít cykly. Cykly se hodí pro opakované vykonávání stejných příkazů bez nutnosti zbytečně psát nadbytečný kód.",-0.3298721908735674,50,2,-0.718
3,-0.173,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,19,-0.198,0.2,0,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",0.0285956870632142,50,2,-0.169
4,0.022,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,24,-0.02,0.2,0,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",0.04803265052436456,50,1,1.028
5,-0.086,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,27,-0.229,0.2,0,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",0.1630886996997098,50,2,-0.066
6,0.068,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,17,0.057,0.2,0.2,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. V této úloze bude potřeba využít větvení programu pomocí podmínek. V určité chvíli se bude robot muset rozhodnout, jakou další akci vykoná podle aktuální situace, ve které se bude nacházet.",-0.21506648165592696,50,2,-0.158
7,0.33,0.0,0.0,-1.0,-1.0,-1.0,-1.0,37,0.085,0.2,0,0,0,0.2,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se. Po bludišti jsou různě rozmístěné klíče od truhly, které robot potřebuje sesbírat. Bez nich nelze truhlu s pokladem otevřít.",0.05146156502902639,50,1,1.136
8,0.214,0.0,0.0,-1.0,-1.0,-1.0,-1.0,29,0.215,0.2,0.2,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",-0.0011439332210584007,50,2,0.214
9,0.41,0.0,0.0,-1.0,-1.0,-1.0,-1.0,28,0.218,0.2,0.2,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",0.21844351902720024,50,2,0.436
10,0.538,0.0,0.0,-1.0,-1.0,-1.0,-1.0,30,0.636,0.2,0.2,0,0,0,0,"Úkolem hry je dostat robota k truhle s pokladem. Pokud robot robot narazí do zdi, rozbije se.",-0.11194623879542055,50,1,1.524
