id,student,task,time_start,time_end,time_spent,solved,reported_flow,predicted_flow,attempt_count
134,20,39,2015-12-15 08:38:57,,0,0,0,-0.0034317955958633,0
133,20,15,2015-12-15 08:38:00,2015-12-15 08:38:57,45,1,3,0.0685994209722405,1
132,20,7,2015-12-15 08:37:17,2015-12-15 08:38:00,42,1,3,0.0468895923469883,1
131,4,39,2015-12-15 08:30:37,,0,0,0,0.0194460350676657,0
130,19,29,2015-12-14 22:09:30,,0,0,0,-0.0091513803557525,0
129,19,39,2015-12-14 22:08:12,2015-12-14 22:09:30,77,1,2,0.0388870757336675,1
128,19,15,2015-12-14 22:07:29,2015-12-14 22:08:12,41,1,3,0.0285956870632141,1
127,19,7,2015-12-14 22:05:33,2015-12-14 22:07:28,112,1,3,-0.0320264152120563,5
126,18,45,2015-12-14 18:52:05,,0,0,0,0.0388870757336676,0
125,18,41,2015-12-14 18:34:29,2015-12-14 18:52:05,1053,1,1,0.0137269078468794,12
124,18,34,2015-12-14 18:30:16,2015-12-14 18:34:29,247,1,2,0.0228773121339607,2
123,18,22,2015-12-14 18:29:11,2015-12-14 18:30:16,61,1,3,-0.00800747560544716,1
122,18,17,2015-12-14 18:23:34,2015-12-14 18:29:10,333,1,1,0.0045757227159665,2
121,18,46,2015-12-14 18:10:03,2015-12-14 18:23:34,807,1,1,-0.0251647302129965,6
120,18,15,2015-12-14 18:07:44,2015-12-14 18:10:02,81,1,3,0.130157905584796,2
119,18,7,2015-12-14 18:05:04,2015-12-14 18:07:44,156,1,3,0.115362981724664,4
118,16,33,2015-12-14 18:00:44,,0,0,0,0.217318029658926,0
117,16,41,2015-12-14 18:00:35,,0,0,0,0.0274520588367773,0
116,18,8,2015-12-14 17:57:36,2015-12-14 18:05:03,441,1,2,0.0902872743311992,19
115,16,44,2015-12-14 17:47:57,2015-12-14 17:52:50,293,0,0,-0.0217335720887532,6
114,16,44,2015-12-14 17:45:03,2015-12-14 18:00:44,873,1,3,-0.0217335720887532,1
113,16,46,2015-12-14 17:39:38,2015-12-14 17:45:03,320,1,3,0.208307352192288,1
112,16,46,2015-12-14 17:37:04,,0,0,0,0.208307352192288,0
111,17,15,2015-12-14 17:20:43,,0,0,0,-0.0731673433490399,0
110,17,9,2015-12-14 17:18:46,2015-12-14 17:20:43,115,1,3,0.0743091641689889,1
109,16,37,2015-12-14 17:13:44,2015-12-14 17:24:59,675,0,0,0.134706380310947,21
108,16,27,2015-12-14 17:11:59,2015-12-14 17:13:44,102,1,3,-0.0125830417339421,2
107,16,20,2015-12-14 17:10:56,2015-12-14 17:11:59,61,1,2,0.0891464682507453,2
106,16,15,2015-12-14 17:10:13,2015-12-14 17:10:56,42,1,2,-0.0548900682125233,1
105,16,9,2015-12-14 17:08:13,2015-12-14 17:10:13,106,1,3,0.00571964576879023,4
104,15,46,2015-12-13 21:54:36,,0,0,0,0.0228773121339607,0
103,15,37,2015-12-13 21:47:33,2015-12-13 21:54:36,420,1,1,-0.0925686453872382,7
102,15,22,2015-12-13 21:44:53,2015-12-13 21:47:33,135,1,2,-0.052604446476719,1
101,15,27,2015-12-13 21:42:40,2015-12-13 21:44:52,131,1,2,-0.0343134267138793,1
